,0
0,马上6789了，更酷
1,我差点以为你在出题了
2,“不要光赞美高耸的山峰，平原和丘陵也一样不朽”
3,超酷的OK
4,最大的悲哀：没人想成为二舅，却被逼着扮演起了二舅。
5,《有一说一，姥姥腿好白呀》
6,明年就是6789 顺子～
7,照顾得好好，姥姥的腿皮肤看着还很年轻
8,姥姥皮肤好白！
9,姥姥腿这么白呀
10,姥姥皮肤比我的都好
11,看脚就知道是细心照顾的
12,这脚你说是十岁小孩子我都信
13,7.29  3309.5万
14,物理题：画出二舅和姥姥的“位移-时间”曲线
15,天呐…我从未想过的角度…却又那么的真实…
16,小声b一句 腿好白
17,姥姥腿的状态看起来好年轻
18,真的是 太传统的中国式小说了
19,农村老奶奶这么白的脚可见照顾的很用心
20,《嗯，好吃的》
21,这文案值得学习一辈子
22,《放》《随身携带》
23,臣密今年
24,敬二舅
25,二舅真的慈眉善目
26,这一段太喜欢了
27,真实且动人心弦
28,牛牛牛又悲又幽默
29,敬二舅
30,酷的哈哈哈哈哈哈
31,三连了
32,太难了
33,突然想到余华的活着
34,家里真干净
35,是真惨
36,平凡且伟大的人生 幽默支撑起岁月的苦涩
37,笑着笑着就哭了
38,敬二舅
39,明年6789
40,敬二舅
41,致敬二舅
42,酷毙了
43,这角度让我耳目一新
